country-code,gcbr-index,zoonotic,zoonotic-1.1,zoonotic-1.2,zoonotic-2.1,zoonotic-2.3,zoonotic-3.1,zoonotic-3.2,zoonotic-3.3,lab-leak,lab-leak-1.1,lab-leak-1.2,lab-leak-1.3,lab-leak-2.1,lab-leak-3.1,lab-leak-3.2,lab-leak-3.3,lab-leak-3.4,lab-leak-3.5,lab-leak-4.1,lab-leak-4.2,lab-leak-5.1
UKR,41.17261905,37.42857143,21,79,1,69,80,5,7,44.91666667,97,75,7,40,1,93,3,84,27,50,58,4
ARE,43.875,35,11,85,15,21,88,15,10,52.75,21,45,75,52,32,26,42,87,93,3,62,95
GBR,56.81547619,53.71428571,99,38,47,35,35,72,50,59.91666667,29,30,94,78,21,98,47,88,99,39,56,40
UMI,49.83928571,51.42857143,8,1,25,73,68,99,86,48.25,15,78,51,99,70,9,78,37,43,51,47,1
USA,54.76190476,44.85714286,52,80,59,41,23,52,7,64.66666667,64,86,91,56,64,90,71,98,32,9,50,65
URY,52.1547619,70.14285714,92,27,90,78,91,95,18,34.16666667,19,12,44,44,44,1,82,34,4,28,3,95
UZB,47.67857143,46.85714286,38,53,53,18,93,41,32,48.5,40,5,83,82,99,8,21,42,17,84,47,54
VUT,48.01785714,47.28571429,19,34,88,13,69,18,90,48.75,96,11,14,72,32,38,25,56,71,47,49,74
VEN,52.88095238,47.42857143,57,78,9,63,32,77,16,58.33333333,57,64,94,62,39,68,57,2,48,89,60,60
VNM,56.14880952,55.71428571,93,46,71,49,74,24,33,56.58333333,6,21,85,92,62,84,100,3,69,70,29,58
VGB,46.08928571,40.42857143,49,90,13,48,18,28,37,51.75,51,51,85,18,10,11,61,89,91,26,28,100
VIR,43.61904762,39.57142857,17,0,92,24,3,70,71,47.66666667,33,93,7,11,32,79,3,44,41,99,88,42
WLF,51.27380952,50.71428571,44,60,65,17,1,78,90,51.83333333,61,20,34,17,94,0,90,95,32,40,45,94
ESH,54.36904762,66.57142857,96,14,85,86,50,85,50,42.16666667,66,1,19,9,63,33,99,88,7,1,81,39
YEM,54.24404762,50.57142857,66,26,69,6,55,35,97,57.91666667,99,9,73,79,12,66,40,74,63,83,92,5
ZMB,48.53571429,49.57142857,28,60,96,32,42,65,24,47.5,77,62,31,24,48,26,90,51,71,26,53,11
ZWE,55.61904762,67.57142857,94,99,64,74,29,88,25,43.66666667,28,70,49,4,66,1,74,49,38,48,42,55
